Tm,ASD,VEC,Phase
1719.2,3.197741982,8.4,FCC + BCC
1719.2,3.197741982,8.4,FCC + BCC
1719.2,3.197741982,8.4,FCC + BCC
1614.2594,5.181922446,8.1453,FCC + BCC
1893.4334,2.29786855,8.1676,FCC + Im
1904.3702,2.770510176,8.1296,FCC + Im
1914.712,3.146202186,8.0924,FCC + Im
1934.3068,3.742948675,8.0178,FCC + Im
1953.3511,4.20527843,7.9481,FCC + Im
1850.8339,3.294732472,7.608,FCC + Im
1865.1517,3.287810498,7.5015,FCC + Im
1801.2,3.269463577,8,FCC + Im
1763.9803,4.443969945,8.3138,FCC + Im
1756,3.833181374,7.6,FCC + Im
1719.89,5.655462385,8.37,FCC + Im
1719.89,5.655462385,8.37,FCC + Im
1760.852,5.632254727,8.3159,FCC + Im
1760.852,5.632254727,8.3159,FCC + Im
1920.5043,1.998207895,8.1429,FCC + Im
1920.5043,1.998207895,8.1429,FCC + Im
1832.245,3.571407404,8.553,FCC + Im
